ts,bid1,bid2,bid3,bid4,bid5,bid6,bid7,bid8,bid9,bid10,bid1_qty,bid2_qty,bid3_qty,bid4_qty,bid5_qty,bid6_qty,bid7_qty,bid8_qty,bid9_qty,bid10_qty,ask1,ask2,ask3,ask4,ask5,ask6,ask7,ask8,ask9,ask10,ask1_qty,ask2_qty,ask3_qty,ask4_qty,ask5_qty,ask6_qty,ask7_qty,ask8_qty,ask9_qty,ask10_qty
1761260711342,109891.58,109891.57,109891.51,109890.49,109890.44,109890.34,109890.33,109890.32,109890.0,109889.82,5.22101,5e-05,0.0001,0.001,5e-05,0.0001,0.15786,0.3003,5e-05,5e-05,109891.59,109891.6,109891.67,109891.93,109891.94,109892.68,109893.1,109893.3,109893.44,109893.45,1.98191,0.00085,0.0001,0.0003,0.03163,0.00105,5e-05,6e-05,0.0001,0.00743
1761260711443,109891.58,109891.57,109891.51,109890.49,109890.44,109890.34,109890.33,109890.32,109890.0,109889.82,5.22061,5e-05,0.0001,0.001,5e-05,0.0001,0.15786,0.3003,5e-05,5e-05,109891.59,109891.6,109891.67,109891.93,109891.94,109892.68,109893.1,109893.3,109893.44,109893.45,1.98191,0.00085,0.0001,0.0003,0.03163,0.00105,5e-05,6e-05,0.0001,0.00743
1761260711543,109891.58,109891.57,109891.51,109890.49,109890.44,109890.34,109890.33,109890.32,109890.0,109889.82,5.24791,5e-05,0.0001,0.001,5e-05,0.0001,0.15786,0.3003,5e-05,5e-05,109891.59,109891.6,109891.67,109891.93,109891.94,109892.68,109893.1,109893.3,109893.44,109893.45,1.98191,0.00085,0.0001,0.0003,0.03163,0.00105,5e-05,6e-05,0.0001,0.00743
1761260711643,109891.58,109891.57,109891.51,109890.49,109890.44,109890.34,109890.33,109890.32,109890.0,109889.82,5.24791,5e-05,0.0001,0.001,5e-05,0.0001,0.15786,0.3003,5e-05,5e-05,109891.59,109891.6,109891.67,109891.93,109891.94,109892.68,109893.1,109893.3,109893.44,109893.45,1.98196,0.0009,0.0001,0.0003,0.03163,0.00105,5e-05,6e-05,0.0001,0.00743
1761260711742,109891.58,109891.57,109891.51,109890.49,109890.44,109890.34,109890.33,109890.32,109890.0,109889.82,5.24791,5e-05,0.0001,0.001,5e-05,0.0001,0.15786,0.3003,5e-05,5e-05,109891.59,109891.6,109891.67,109891.93,109891.94,109892.68,109893.1,109893.3,109893.44,109893.45,1.98196,0.0009,0.0001,0.0003,0.03163,0.00105,5e-05,6e-05,0.0001,0.00743
1761260711842,109891.58,109891.57,109891.51,109890.49,109890.44,109890.34,109890.33,109890.32,109890.0,109889.82,5.24791,5e-05,0.0001,0.001,5e-05,0.0001,0.15786,0.3003,5e-05,5e-05,109891.59,109891.6,109891.67,109891.93,109891.94,109892.68,109893.1,109893.3,109893.44,109893.45,1.98196,0.0009,0.0001,0.0003,0.03163,0.00105,5e-05,6e-05,0.0001,0.00743
1761260711942,109891.58,109891.57,109891.51,109890.49,109890.44,109890.34,109890.33,109890.32,109890.0,109889.82,5.24791,5e-05,0.0001,0.001,5e-05,0.0001,0.15786,0.3003,5e-05,5e-05,109891.59,109891.6,109891.67,109891.93,109891.94,109892.68,109893.1,109893.3,109893.44,109893.45,1.98196,0.0009,0.0001,0.0003,0.03163,0.00105,5e-05,6e-05,0.0001,0.00743
1761260712042,109891.58,109891.57,109891.51,109890.49,109890.44,109890.34,109890.33,109890.32,109890.0,109889.82,5.24791,5e-05,0.0001,0.001,5e-05,0.0001,0.15786,0.3003,5e-05,5e-05,109891.59,109891.6,109891.67,109891.93,109891.94,109892.68,109893.1,109893.3,109893.44,109893.45,1.98196,0.0009,0.0001,0.0003,0.03163,0.00105,5e-05,6e-05,0.0001,0.00743
1761260712143,109891.58,109891.57,109891.51,109890.49,109890.44,109890.34,109890.33,109890.32,109890.0,109889.82,5.24791,5e-05,0.0001,0.001,5e-05,0.0001,0.15786,0.3003,5e-05,5e-05,109891.59,109891.6,109891.67,109891.93,109891.94,109892.68,109893.1,109893.3,109893.44,109893.45,1.98196,0.0009,0.0001,0.0003,0.03163,0.00105,5e-05,6e-05,0.0001,0.00743
1761260712242,109891.58,109891.57,109891.51,109890.49,109890.44,109890.34,109890.33,109890.32,109890.0,109889.82,5.24791,5e-05,0.0001,0.001,5e-05,0.0001,0.15786,0.3003,5e-05,5e-05,109891.59,109891.6,109891.67,109891.93,109891.94,109892.68,109893.1,109893.3,109893.44,109893.45,1.98196,0.0009,0.0001,0.0003,0.03163,0.00105,5e-05,6e-05,0.0001,0.00743
1761260712442,109891.58,109891.57,109891.51,109890.49,109890.44,109890.34,109890.33,109890.32,109890.0,109889.82,5.24791,5e-05,0.0001,0.001,5e-05,0.0001,0.15786,0.3003,5e-05,5e-05,109891.59,109891.6,109891.67,109891.93,109891.94,109892.68,109893.1,109893.3,109893.44,109893.45,1.98196,0.0009,0.0001,0.0003,0.03163,0.00105,5e-05,6e-05,0.0001,0.00743
1761260712543,109891.58,109891.57,109891.51,109890.49,109890.44,109890.34,109890.33,109890.32,109890.0,109889.82,5.24791,5e-05,0.0001,0.001,5e-05,0.0001,0.15786,0.3003,5e-05,5e-05,109891.59,109891.6,109891.67,109891.93,109891.94,109892.68,109893.1,109893.3,109893.44,109893.45,1.98196,0.0009,0.0001,0.0003,0.03163,0.00105,5e-05,6e-05,0.0001,0.00743
1761260712643,109891.58,109891.57,109891.51,109890.49,109890.44,109890.34,109890.33,109890.32,109890.0,109889.82,5.24791,5e-05,0.0001,0.001,5e-05,0.0001,0.15786,0.3003,5e-05,5e-05,109891.59,109891.6,109891.67,109891.93,109891.94,109892.68,109893.1,109893.3,109893.44,109893.45,1.98196,0.0009,0.0001,0.0003,0.03163,0.00105,5e-05,6e-05,0.0001,0.00743
